ID,Kerne_A,Cyto_A,K/C,Kerne_Ycol,Cyto_Ycol,KerneShort,KerneLong,KerneElong,KerneRund,CytoShort,CytoLong,CytoElong,CytoRund,KernePeri,CytoPeri,KerneX,KerneY,CytoX,CytoY,KernePos,KerneMax,KerneMin,CytoMax,CytoMin,Class
1cyl01.BMP,121.99,606.96,0.167350298,0.6,0.75,10.9,15.03,0.7252,0.6876,22.12,42.11,0.5253,0.4358,61.88,226.3,404,273.78,348.63,242.15,0.6082,53,37,192,133,1
1cyl02.BMP,88.18,440.56,0.16677384,0.52,0.75,8.96,13.36,0.6707,0.6290,18.29,35.82,0.5106,0.4372,48.49,190.69,381.72,263.96,343.14,219.78,0.6576,43,24,109,100,1
2cyl03.BMP,69.58,234.47,0.22884394,0.57,0.77,7.2,15.44,0.4663,0.3716,12.82,37.63,0.3407,0.2108,63.94,156.5,273.57,294.75,281.7,293.7,0.0875,34,19,62,68,1
3cyl04.BMP,35.82,366.92,0.088940756,0.54,0.76,6.99,12.62,0.5539,0.2864,15.17,37.26,0.4071,0.3365,69.66,171.47,242.76,325.55,249.89,290.15,0.3892,19,11,125,85,1
4cyl05.BMP,46.22,277.87,0.142614706,0.54,0.73,7.19,11.53,0.6236,0.4427,12.57,35.48,0.3543,0.2811,65.29,147.28,348.55,313.94,337.01,280.61,0.3992,20,9,93,78,1
5cyl06.BMP,92.68,479.83,0.161883635,0.48,0.79,9.31,13.5,0.6896,0.6475,16.61,49.32,0.3368,0.2512,66.69,184.55,417,234.46,371.88,204.3,0.4419,25,12,120,88,1
6cyl07.BMP,115.23,153.87,0.428205128,0.52,0.73,8.22,19.99,0.4112,0.3672,10.38,53.76,0.1931,0.0678,84.85,210.81,359.13,284.69,379.08,292.87,0.1611,38,15,81,55,1
7cyl08.BMP,90.68,189.5,0.323649083,0.49,0.72,5.83,22.77,0.2560,0.2227,9.32,57.81,0.1612,0.0722,76.1,210.48,302.69,264.83,335.05,263.28,0.2251,40,19,80,74,1
58cyl09.BMP,82.79,294.46,0.219456594,0.43,0.69,9.56,12.04,0.7940,0.7272,17.48,28.29,0.6179,0.4685,66.01,190.37,456.43,252.94,408.23,267.97,0.7167,27,13,67,63,1
9cyl10.BMP,136.46,101.7,0.57297615,0.48,0.76,8.29,23.18,0.3576,0.3234,12.97,36.9,0.3515,0.0951,98.3,235.91,339.73,300.88,345.63,312.03,0.1373,42,26,62,43,1
10cyl11.BMP,344.75,106.52,0.76395506,0.4,0.73,12.33,38.25,0.3224,0.3000,20.72,49.38,0.4196,0.0556,136.07,250.16,352.48,191.39,372.51,185.38,0.1701,90,72,54,53,1
11cyl12.BMP,87.17,127.38,0.40629224,0.53,0.74,7.04,16.88,0.4171,0.3895,8.13,44.72,0.1818,0.0811,60.02,152.68,439.09,254,423.41,254.3,0.1408,39,27,81,40,1
12cyl13.BMP,96.5,191.63,0.334918266,0.51,0.74,7.47,17.58,0.4249,0.3976,9.28,52.08,0.1782,0.0900,55.13,165.99,317.53,257.84,301.08,258.42,0.1269,38,25,86,55,1
13cyl14.BMP,117.36,223.63,0.344174316,0.51,0.73,8.08,19.68,0.4106,0.3858,11.28,49.52,0.2278,0.1161,66.18,183.35,310.74,131.43,354.69,136.12,0.3585,41,28,83,58,1
64cyl15.BMP,87.49,139.9,0.384757465,0.46,0.7,10.58,11.29,0.9371,0.8739,12.54,31,0.4045,0.1854,57.79,128.16,487.46,206.64,488.24,213.65,0.0914,27,21,39,32,1
15cyl16.BMP,100.89,100.45,0.501092679,0.52,0.7,7.7,18.99,0.4055,0.3562,11.01,20.58,0.5350,0.3020,88.2,109.34,395.44,224.02,406.22,188.76,0.7195,43,30,29,32,1
16cyl17.BMP,80.97,165.64,0.328332184,0.45,0.71,6.51,17.39,0.3744,0.3409,13.16,39.12,0.3364,0.1378,55.88,150.7,428.08,241.75,430.73,212.27,0.3039,25,21,50,42,1
17cyl18.BMP,93.75,130.2,0.418620228,0.51,0.72,7.55,16.86,0.4478,0.4199,9.25,41.69,0.2219,0.0954,53.37,141.39,277.92,300,303.17,302.85,0.2448,32,19,75,43,1
18cyl19.BMP,72.83,331.66,0.180053895,0.48,0.75,8.78,11.33,0.7749,0.7224,21.7,24.73,0.8775,0.6905,43.77,176.33,410.17,331.65,442.84,326.97,0.5360,23,14,103,88,1
69cyl20.BMP,62.19,304.04,0.169811321,0.46,0.72,8.88,10.03,0.8853,0.7871,20.47,23.84,0.8586,0.6811,53.1,156.68,314.16,424.19,338.88,408.3,0.4950,23,11,75,75,1
20cyl21.BMP,56.3,222.69,0.201799348,0.4,0.72,7.83,10.01,0.7822,0.7154,15.92,22.7,0.7013,0.5502,40.69,130.1,223.3,341.92,220.27,307.05,0.6192,18,7,65,68,1
21cyl22.BMP,69.07,324.33,0.175571937,0.46,0.72,8.63,11.03,0.7824,0.7229,20.4,23.67,0.8619,0.7371,45.86,138.81,271.21,327.65,277.09,285.81,0.7169,23,10,89,74,1
22cyl23.BMP,47.41,320.58,0.128835023,0.41,0.75,5.55,11.89,0.4668,0.4270,21.13,21.9,0.9648,0.8511,36.79,135.99,506.13,382.7,510.28,345.43,0.6877,17,13,124,77,1
23cyl24.BMP,51.85,296.78,0.148725009,0.45,0.77,6.54,11.12,0.5881,0.5339,17.82,24.36,0.7315,0.6368,43.54,146.26,323.08,176.86,279.7,168.49,0.7284,13,4,121,86,1
74cyl25.BMP,55.49,105.84,0.343953387,0.5,0.68,6.81,12.02,0.5666,0.4890,9.6,29.1,0.3299,0.1591,63.07,126.44,407.05,250.97,412.55,247.02,0.0935,22,12,33,25,1
75cyl26.BMP,176.98,83.98,0.678188228,0.35,0.65,11.43,21.06,0.5427,0.5081,15.39,35.59,0.4324,0.0844,88.78,150.3,436.65,163.46,432.41,164.22,0.0486,45,41,30,30,1
76cyl27.BMP,86.8,74.59,0.537827623,0.43,0.7,5.9,21.76,0.2711,0.2334,9.64,34.22,0.2817,0.0811,75.87,158.78,438.29,335.53,438.84,335.72,0.0068,32,15,47,36,1
77cyl28.BMP,79.91,112.1,0.416176241,0.37,0.73,8.51,13.87,0.6136,0.5289,12.12,31.21,0.3883,0.1465,62.44,150.66,449.28,225.15,456.88,222.31,0.1044,20,13,59,36,1
78cyl29.BMP,131.2,100.76,0.565614761,0.44,0.71,9.47,19.42,0.4876,0.4429,13.4,33.41,0.4011,0.1149,86.21,158.37,301.77,217.77,287.21,222.03,0.1824,39,29,49,32,1
51cyl30.BMP,76.34,452.4,0.144380981,0.51,0.74,8.7,12.26,0.7096,0.6467,18.4,36.22,0.5080,0.4391,54.93,196.16,383.54,264.06,343.84,220.92,0.6501,44,24,109,101,1
30cyl31.BMP,52.17,526.11,0.090215812,0.38,0.77,7.45,9.84,0.7571,0.6860,23.81,33.06,0.7202,0.6129,34.86,212.78,337.07,304.87,396.48,289.95,0.7441,18,3,197,135,1
31cyl32.BMP,99.76,429.04,0.188653555,0.52,0.74,11.2,12.88,0.8696,0.7657,21.91,34.25,0.6397,0.4657,89.55,201.94,352.02,387.64,380.89,369.22,0.4016,40,16,152,104,1
32cyl33.BMP,73.15,342.12,0.176150456,0.48,0.75,9.01,11.15,0.8081,0.7492,17.72,29.71,0.5964,0.4935,51.26,173.48,377.74,321.08,334.39,296.36,0.6746,21,12,110,78,1
33cyl34.BMP,93.37,229.33,0.289339944,0.48,0.7,9.62,13.36,0.7201,0.6660,16.92,27.31,0.6196,0.3915,74.13,177.18,496.66,177.33,522.12,198.06,0.4828,41,22,57,59,1
